Anchor_1,Anchor_2,Anchor_3,Anchor_4
1.2361484357585694e-06,2.800860966285477e-06,1.3778239926064938e-06,1.9871747784428377e-06
5.845181452108328e-07,3.663927557112535e-06,6.451056392809029e-07,1.8295670654832965e-06
1.226251277218391e-06,3.1363864963359014e-06,-2.310806279664588e-07,1.494958933151112e-06
3.1164398715179156e-06,3.5732802551771394e-06,3.0925378582292143e-06,2.4711373617575594e-06
2.2158386612210946e-06,1.5450310307191637e-06,2.1377477080706177e-06,1.2210273720448407e-07
1.433906164212844e-06,1.9902148769706237e-06,2.012271839055421e-06,3.2253320709449935e-06
8.070599447158249e-07,2.3831336343279508e-06,6.707501175611093e-07,1.2215287358827077e-06
3.711646899816539e-06,1.89544788085279e-07,3.3287935400217845e-06,2.3760996985987925e-06
2.1718124369589035e-06,2.2408769695470035e-06,2.0858215596639044e-06,3.2393051165504782e-06
1.3985741927056782e-06,1.2051231982819732e-06,1.9014916567249034e-06,9.79166129757353e-07
3.660950926655402e-06,2.4211200730028277e-06,2.7627461804722396e-06,2.8630026830869183e-06
2.49269854742147e-06,2.876723570592113e-06,2.9763376711819043e-06,2.2241129459693583e-06
